Year,4-Year Tuition in 2020 Dollars
1968,5041.30
1969,5259.59
1970,5390.79
1971,5533.76
1972,5841.93
1973,5556.98
1974,5122.02
1975,5092.09
1976,5462.82
1977,5426.09
1978,5365.74
1979,5128.37
1980,5099.45
1981,5333.13
1982,5735.89
1983,6059.07
1984,6387.89
1985,6733.39
1986,7196.96
1987,7271.15
1988,7539.39
1989,7875.74
1990,7877.66
1991,8349.76
1992,8773.75
1993,9212.91
1994,9431.76
1995,9854.81
1996,10132.14
1997,10332.14
1998,10751.65
1999,10943.73
2000,11078.90
2001,11498.30
2002,12006.05
2003,12767.57
2004,13324.00
2005,13592.97
2006,14090.59
2007,14238.80
2008,14766.90
2009,15060.61
2010,15408.41
2011,15694.36
2012,16037.35
2013,16309.37
2014,16629.80
2015,16944.90
2016,16821.92
2017,16887.40
2018,16952.61
2019,17029.63
2020,16618.29
